borough,Tax block,Tax lot,community board,council district,postcode,policeprct,address,state,bldgclass,landuse,ownertype,ownername,lotarea,unitstotal,lotfront,lotdepth,lottype,assessland,yearbuilt,histdist,landmark,borocode,x,y,latitude,longitude,zonemap,notes,city
MN,1273,16,105.0,4.0,10019.0,18.0,31 WEST 57 STREET,NY,V1,11,,31 WEST 57TH STREET OWNER LLC,2711,0,27.0,100.42,5,1660500,1920,,,1,990996.0,217616.0,40.7639795,-73.9756475,8c,,New York
MN,1273,7,105.0,4.0,10019.0,18.0,45 WEST 57 STREET,NY,V1,11,,BOB 57 DEVELOPMENT LLC,5045,0,50.25,100.42,5,3207600,0,,,1,990807.0,217719.0,40.7642623,-73.9763297,8c,,New York
MN,1272,52,105.0,4.0,10019.0,18.0,20 WEST 57 STREET,NY,V1,11,,20 WEST 57TH STREET REALTY LLC,5020,0,50.0,100.42,5,3191850,0,,,1,991042.0,217368.0,40.7632987,-73.9754817,8c,,New York
MN,1272,23,105.0,4.0,10019.0,18.0,21 WEST 56 STREET,NY,V1,11,,"NINETEEN WEST REALTY COMPANY, LLC",5020,0,50.0,100.42,5,1702350,0,,,1,991012.0,217263.0,40.7630106,-73.9755901,8c,,New York
MN,1273,17,105.0,4.0,10019.0,18.0,27 WEST 57 STREET,NY,V1,11,,29 WEST 57TH STREET OWNER LLC,4820,0,48.0,100.42,5,3064500,0,,,1,991028.0,217598.0,40.76393,-73.975532,8c,,New York
MN,1273,65,105.0,4.0,10019.0,18.0,50 WEST 58 STREET,NY,V1,11,,BOB 57 DEVELOPMENT LLC,7532,0,75.0,100.42,5,3831300,0,,,1,990913.0,217780.0,40.7644297,-73.975947,8c,,New York
MN,1272,70,105.0,4.0,10019.0,18.0,56 WEST 57 STREET,NY,V1,11,,5657 REALTY CORP.,2500,0,25.0,100.42,5,1766250,0,,,1,990661.0,217579.0,40.7638782,-73.9768569,8c,,New York
MN,1272,69,105.0,4.0,10019.0,18.0,54 WEST 57 STREET,NY,V1,11,,5657 REALTY CORP,2513,0,25.0,100.42,5,1775250,0,,,1,990682.0,217568.0,40.763848,-73.9767811,8c,,New York
MN,1272,7,105.0,4.0,10019.0,18.0,57 WEST 56 STREET,NY,V1,11,,5657 REALTY CORP,2510,0,25.0,100.42,5,969750,0,,,1,990652.0,217463.0,40.7635598,-73.9768895,8c,,New York
MN,1273,15,105.0,4.0,10019.0,18.0,33 WEST 57 STREET,NY,V1,11,,VNO 33 WEST 57TH STREET LLC,2513,0,25.0,100.42,5,1539000,1939,,,1,990972.0,217629.0,40.7640152,-73.9757341,8c,,New York
MN,1273,10,105.0,4.0,10019.0,18.0,41 WEST 57 STREET,NY,V1,11,,BOB 57 DEVELOPMENT LLC,3414,0,34.0,100.42,5,2170800,0,,,1,990872.0,217683.0,40.7641635,-73.9760951,8c,,New York
MN,1272,50,105.0,4.0,10019.0,18.0,16 WEST 57 STREET,NY,V1,11,,16 WEST 57TH STREET COMPANY LLC,5020,0,50.0,100.42,5,3620700,0,,,1,991085.0,217344.0,40.7632328,-73.9753265,8c,,New York
MN,79,27,101.0,1.0,10038.0,1.0,140 FULTON STREET,NY,V1,11,,140 FULTON ASSOCIATES LLC,5612,0,25.17,108.0,5,4521150,0,,,1,981903.0,198066.0,40.7103218,-74.0084657,12b,,New York
MN,64,20,101.0,1.0,10038.0,1.0,8 MAIDEN LANE,NY,V1,11,,"10-12 MLANE, LLC",1890,0,21.0,90.0,5,1499400,0,,,1,981596.0,197725.0,40.7093858,-74.0095729,12b,,New York
MN,64,21,101.0,1.0,10038.0,1.0,10 MAIDEN LANE,NY,V1,11,,"10-12 MLANE, LLC",3241,0,45.42,88.0,5,1948500,0,,,1,981622.0,197709.0,40.7093419,-74.0094791,12b,,New York
MN,1548,23,108.0,5.0,10028.0,19.0,1637 FIRST AVENUE,NY,V1,11,,350 EAST 86 LLC,26575,0,25.0,75.0,3,5994450,0,,,1,998081.0,222263.0,40.776726,-73.9500617,9a,,New York
MN,2067,7,109.0,7.0,10031.0,30.0,475 WEST 152 STREET,NY,V1,11,,475 WEST 152 LLC,1475,0,32.17,77.92,6,60300,0,,,1,999873.0,241525.0,40.8295919,-73.9435467,3b,,New York
MN,2067,1,109.0,7.0,10031.0,30.0,1867 AMSTERDAM AVENUE,NY,V1,11,,1861 AMSTERDAM AVENUE LLC,9992,0,99.92,100.0,3,156150,0,,,1,999766.0,241567.0,40.8297074,-73.9439332,3b,,New York
MN,1533,28,108.0,5.0,10128.0,19.0,1695 2ND AVENUE,NY,V1,11,,ALCHEMY-ABR UES LLC,6057,0,75.71,80.0,5,608731,0,,,1,997767.0,223142.0,40.7791391,-73.9511936,9a,,New York
MN,1966,141,109.0,7.0,10027.0,26.0,461 WEST 125 STREET,NY,V1,11,,TSTY 125TH STREET LLC,2500,0,25.0,100.0,0,324900,0,,,1,996538.0,235515.0,40.8131015,-73.9556086,6a,,New York
MN,92,10,101.0,1.0,10038.0,1.0,57 ANN STREET,NY,V1,11,,57 ANN ST RLTY ASSOCS,10925,0,53.42,115.5,5,1474650,0,,,1,982469.0,198098.0,40.7104098,-74.0064241,12b,,New York
MN,1426,25,108.0,5.0,10021.0,19.0,1357 2 AVENUE,NY,V1,11,,CF EAST 72 OWNER LLC,6068,0,102.17,59.33,3,1164150,0,,,1,995665.0,219325.0,40.7686654,-73.9587899,8c,,New York
MN,1262,39,105.0,4.0,10036.0,18.0,574 5 AVENUE,NY,V1,11,,46/47 OWNER LLC,2500,0,25.0,100.0,5,1649700,0,,,1,990056.0,214914.0,40.7565638,-73.9790432,8d,,New York
MN,2032,2,110.0,9.0,10039.0,32.0,8 AVENUE,NY,V1,11,C,NYC HOUSING PRESERVATION AND DEVELOPMENT,2500,0,25.0,100.0,5,240750,0,,,1,1000578.0,239320.0,40.8235386,-73.9410045,6a,,New York
