borough,Tax block,Tax lot,community board,council district,postcode,policeprct,address,state,bldgclass,landuse,ownertype,ownername,lotarea,unitstotal,lotfront,lotdepth,lottype,assessland,yearbuilt,histdist,landmark,borocode,x,y,latitude,longitude,zonemap,notes
MN,2039,63,110.0,9.0,10039.0,32.0,2902 FREDRICK DOUGLASS BL,,V1,11,,"2902 FREDERICK DOUGLAS BLVD. HOLDING, LL C.",4000,0,40.0,100.0,5,293850,0,,,1,1001511.0,241001.0,40.8281507,-73.9376291,3b,
MN,2067,149,109.0,7.0,10031.0,30.0,WEST 153 STREET,,V1,11,C,NYC DEPARTMENT OF CITYWIDE ADMINISTRATIVE SERVICES,20,0,7.83,2.5,8,900,0,,,1,1000130.0,241538.0,40.8296272,-73.942618,3b,
MN,2107,2,112.0,10.0,10032.0,33.0,WEST 155 STREET,,V1,11,C,NYC DEPARTMENT OF ENVIRONMENTAL PROTECTION,15032,0,50.0,419.67,5,1119150,0,,,1,1000647.0,242132.0,40.8312566,-73.9407483,3b,
MN,2110,55,112.0,10.0,10032.0,33.0,WEST 162 STREET,,V1,11,,LEX162 INC.,2306,0,3.5,112.5,5,179100,0,,,1,1001123.0,243760.0,40.8357241,-73.9390242,3b,
MN,2136,49,112.0,7.0,10032.0,33.0,FT WASHINGTON AVENUE,,V1,11,,DONALD E FITZPATRICK,1,0,1.83,1.58,8,450,0,,,1,999562.0,243718.0,40.8356116,-73.9446654,3b,
MN,2101,63,109.0,7.0,10031.0,30.0,WEST 145 STREET,,V1,11,X,AMTRAK HEADQUARTERS,5444,0,38.0,66.0,5,236700,0,,,1,997362.0,240712.0,40.8273646,-73.9526217,3b,
MN,2174,114,112.0,10.0,10040.0,34.0,ELLWOOD STREET,,V1,11,,ELWOOD RD. CORPORATION,1000,0,10.0,100.0,8,11700,0,,,1,1004040.0,253080.0,40.8612986,-73.9284552,3a,
MN,2174,97,112.0,10.0,10040.0,34.0,NAGLE AVENUE,,V1,11,,NAGLE AVE DNB LLC,2800,0,70.0,40.0,6,129150,0,,,1,1004119.0,252928.0,40.8608813,-73.9281701,3a,
MN,2156,75,112.0,10.0,10033.0,34.0,528 WEST 187 STREET,,V1,11,,YESHIVA UNIVERSITY,1444,0,19.25,75.0,5,202500,0,,,1,1003797.0,249736.0,40.8521209,-73.9293435,3a,
MN,2179,154,112.0,10.0,10033.0,34.0,205 CABRINI BOULEVARD,,V1,11,,GOLD CHIP VENTURES LLC,5258,0,68.67,88.0,5,690750,0,,,1,1001222.0,250526.0,40.8542946,-73.9386493,3a,
