borough,Tax block,Tax lot,community board,council district,postcode,policeprct,address,state,bldgclass,landuse,ownertype,ownername,lotarea,unitstotal,lotfront,lotdepth,lottype,assessland,yearbuilt,histdist,landmark,borocode,x,y,latitude,longitude,zonemap,notes,city
BK,5600,33,312.0,44.0,11219.0,66.0,1466 42 STREET,NY,V0,11,X,1462 BYBZ LLC,2003,0,20.0,100.17,5,13140,0,,,3,988594.0,171147.0,40.6364345,-73.9843485,22c,,New York
BK,7066,23,313.0,47.0,11224.0,60.0,3212 SURF AVENUE,NY,V0,11,,BEACH FRONT LLC,1536,0,20.17,76.17,5,17040,0,,,3,984665.0,147867.0,40.5725367,-73.9985062,28d,,New York
BK,1818,73,303.0,36.0,11216.0,79.0,243 MADISON STREET,NY,V0,11,X,NEIGHBORHOOD RESTORE HOUSING DEVELOPMENT  FUND CORP,2000,0,20.0,100.0,5,12120,0,,,3,998332.0,188883.0,40.6851057,-73.9492253,17a,,New York
BK,1794,3,303.0,36.0,11216.0,79.0,287 NOSTRAND AVENUE,NY,V1,11,,"INCOMING/OUTGOING, L",1560,0,20.0,78.0,5,101700,0,,,3,997838.0,190255.0,40.6888723,-73.9510037,17a,,New York
BK,5629,60,312.0,44.0,11219.0,66.0,1339 48 STREET,NY,V0,11,,1339 48 ST LLC,4007,0,40.0,100.17,5,33300,0,,,3,986962.0,170651.0,40.6350737,-73.9902288,22c,,New York
BK,1813,30,303.0,36.0,11216.0,79.0,434 GATES AVENUE,NY,V0,11,,MA GREEN BRICKS LLC,2000,0,20.0,100.0,5,16800,0,,,3,998449.0,189277.0,40.686187,-73.9488026,17a,,New York
BK,1789,83,303.0,36.0,11216.0,79.0,321 CLIFTON PLACE,NY,V0,11,,JOYCE MILLER 2019 FAMILY TRUST,2000,0,20.0,100.0,5,11520,0,,,3,997989.0,190469.0,40.6894595,-73.9504588,17a,,New York
BK,5458,131,312.0,44.0,11219.0,66.0,1560 50 STREET,NY,V0,11,,NAME NOT ON FILE,150,0,2.0,75.0,8,316,0,,,3,987871.0,169079.0,40.6307586,-73.9869546,22c,,New York
BK,5650,166,312.0,44.0,11219.0,66.0,1427 51 STREET,NY,V0,11,,THE CHAIM AND SARAH SCHWARTZ REVOCABLE T RUST,301,0,3.0,100.17,8,316,0,,,3,986977.0,169639.0,40.632296,-73.9901752,22c,,New York
BK,1813,27,303.0,36.0,11216.0,79.0,428 GATES AVENUE,NY,V0,11,,GATES CLUSTER DEVELOPMENT COMP,2000,0,20.0,100.0,5,16800,0,,,3,998391.0,189268.0,40.6861624,-73.9490117,17a,,New York
